"Pdel_P1"	"Pdel_P4"
"Podel.01G014600"	0.0870728434609248	0.0290242811536416
"Podel.01G014700"	0	0
"Podel.01G014800"	17.556768890648	18.8612966100769
"Podel.01G014900"	0.174614901628721	0.0698459606514885
"Podel.01G015000"	1.91193281944276	1.47740263320577
"Podel.01G015100"	0.0901708436556188	0.135256265483428
"Podel.01G015200"	0.109935663257341	0.357290905586359
"Podel.01G015300"	0.0702678925699222	0.0702678925699222
"Podel.01G015400"	1.87134197569846	2.65609828808814
"Podel.01G015500"	2.67370274843942	3.04599047290567
"Podel.01G015600"	4.51549285197939	4.30546992863151
"Podel.01G015700"	0	0
"Podel.01G015800"	0.595767031846418	1.51649789924543
"Podel.01G015900"	0	0
"Podel.01G016000"	0	0
"Podel.01G016100"	0	0
"Podel.01G016200"	0	0
"Podel.01G016300"	0	0.0589308280633175
"Podel.01G016400"	0	0
"Podel.01G016500"	0	0
"Podel.01G016600"	0	0
"Podel.01G016700"	0	0
"Podel.01G016800"	0	0
"Podel.01G016900"	0	0
"Podel.01G017000"	0	0
"Podel.01G017100"	0	0.021614709092406
"Podel.01G017200"	5.27076759555734	4.66493223974615
"Podel.01G017300"	0.563189962050178	0.422392471537633
"Podel.01G017400"	0.951047200065866	0.951047200065866
"Podel.01G017500"	0	0
"Podel.01G017600"	0	0.140622912099014
"Podel.01G017700"	2.4479493052468	3.50501832342155
"Podel.01G017800"	0	0
"Podel.01G017900"	0.0518575119377478	0.0518575119377478
"Podel.01G018000"	0.0364552808125537	0
"Podel.01G018100"	0	0.118880900008233
"Podel.01G018200"	0.521109509058647	0.236867958663021
"Podel.01G018300"	0	0
"Podel.01G018400"	0.0402599853063026	0
"Podel.01G018500"	0	0
"Podel.01G018600"	6.57036694053286	6.86456247518358
"Podel.01G018700"	0.0380131987959961	0
"Podel.01G018800"	0	0
"Podel.01G018900"	1.46593181397177	1.12763985690136
"Podel.01G019000"	0	0.0423101580331485
"Podel.01G019100"	0	0
"Podel.01G019200"	0	0
"Podel.01G019300"	0.812991961346627	1.0839892817955
"Podel.01G019400"	0	0
"Podel.01G019500"	0.0800934877174114	0.0800934877174114
"Podel.01G019600"	0.511180563280639	0.418238642684159
"Podel.01G019700"	10.7302119050795	11.0779502538553
"Podel.01G019800"	0	0.607295200042059
"Podel.01G019900"	0	0
"Podel.01G020000"	0	0
"Podel.01G020100"	84.0091693391515	80.0025781860535
"Podel.01G020200"	559.487721240513	549.344336981382
"Podel.01G020300"	0	0.741257376521925
"Podel.01G020400"	0	0
"Podel.01G020500"	2.5338492727069	2.21711811361854
"Podel.01G020600"	0	0
"Podel.01G020700"	1.99210113847837	2.4958508516568
"Podel.01G020800"	4.48296717800959	4.88442692529403
"Podel.01G020900"	1.08978097403174	1.35283155397043
"Podel.01G021000"	0	0
"Podel.01G021100"	0	0
"Podel.01G021200"	121.689347587007	114.72071813035
"Podel.01G021300"	0.036703035148173	0
"Podel.01G021400"	16.7384959060256	16.0129883435353
"Podel.01G021500"	0.393792981277273	0
"Podel.01G021600"	0	0
"Podel.01G021700"	0.277461476716464	0.277461476716464
"Podel.01G021800"	0.563189962050178	0.703987452562722
"Podel.01G021900"	0.280654240553958	0.561308481107916
"Podel.01G022000"	2.31025215682667	1.89020631013091
"Podel.01G022100"	0	0
"Podel.01G022200"	0	0
"Podel.01G022300"	0	0
"Podel.01G022400"	0.0360210826132617	0.0720421652265234
"Podel.01G022500"	0.0225561612187459	0.0902246448749837
"Podel.01G022600"	0	0
"Podel.01G022700"	0	0
"Podel.01G022800"	0	0
"Podel.01G022900"	30.6898463454275	33.2879285757282
"Podel.01G023000"	1.17432172194513	0.812991961346627
"Podel.01G023100"	1.78977977813553	1.71023401021839
"Podel.01G023200"	1.14557958189752	1.27286620210836
